"Numer","Wartość","Data (Data rozpoczęcia)","Termin zakończenia","Norma rbh do wykonania [h]"
"5/E/10/21","E05","2021-10-19","2021-10-19 12:08","1:45"
"6/E/10/21","E07","2021-10-15","2021-10-18 07:11","7:08"
"7/E/10/21","E07","2021-10-15","2021-10-18 07:54","9:51"
"8/E/10/21","E08","2021-10-18","2021-10-18 14:36","4:38"
"9/E/10/21","E03","2021-10-19","2021-10-19 15:23","0:47"
"10/E/10/21","E05","2021-10-19","2021-10-19 15:16","0:55"
"13/E/10/21","E04","2021-10-19","2021-10-19 17:36","1:02"
"14/E/10/21","E05","2021-10-19","2021-10-19 17:29","1:37"
"15/E/10/21","E03","2021-10-19","2021-10-19 17:22","1:55"
"16/E/10/21","E03","2021-10-19","2021-10-19 17:15","0:41"
"17/E/10/21","E02","2021-10-19","2021-10-19 15:51","0:41"
"18/E/10/21","E05","2021-10-19","2021-10-19 15:44","1:22"
"19/E/10/21","E05","2021-10-19","2021-10-19 15:37","2:32"
"20/E/10/21","E05","2021-10-19","2021-10-19 15:30","2:59"
"21/E/10/21","E02","2021-10-11","2021-10-11 12:01","0:35"
"27/E/10/21","E02","2021-10-11","2021-10-11 11:54","0:34"
"28/E/10/21","E03","2021-10-18","2021-10-19 10:35","4:17"
"29/E/10/21","E03","2021-10-18","2021-10-19 10:21","4:17"
"30/E/10/21","E03","2021-10-18","2021-10-19 10:28","4:17"
"31/E/10/21","E03","2021-10-19","2021-10-19 10:58","4:17"
"32/E/10/21","E03","2021-10-19","2021-10-19 11:47","4:17"
"33/E/10/21","E03","2021-10-19","2021-10-19 11:12","4:17"
"34/E/10/21","E03","2021-10-18","2021-10-19 10:14","4:17"
"35/E/10/21","E03","2021-10-19","2021-10-19 11:33","4:17"
"36/E/10/21","E03","2021-10-19","2021-10-19 11:40","4:17"
"37/E/10/21","E03","2021-10-18","2021-10-19 10:42","4:17"
"38/E/10/21","E03","2021-10-18","2021-10-19 11:26","4:17"
"39/E/10/21","E03","2021-10-18","2021-10-19 11:19","0:41"
"40/E/10/21","E03","2021-10-18","2021-10-19 09:04","4:43"
"41/E/10/21","E03","2021-10-18","2021-10-19 08:44","4:43"
"42/E/10/21","E03","2021-10-18","2021-10-19 09:11","4:43"
"43/E/10/21","E03","2021-10-18","2021-10-19 09:32","4:43"
"44/E/10/21","E03","2021-10-19","2021-10-19 08:51","4:43"
"45/E/10/21","E03","2021-10-18","2021-10-19 09:39","4:43"
"46/E/10/21","E03","2021-10-19","2021-10-19 09:46","4:43"
"47/E/10/21","E03","2021-10-18","2021-10-19 09:25","4:43"
"48/E/10/21","E03","2021-10-18","2021-10-19 10:00","4:43"
"49/E/10/21","E03","2021-10-18","2021-10-19 09:18","4:43"
"50/E/10/21","E03","2021-10-18","2021-10-19 10:07","4:43"
"51/E/10/21","E03","2021-10-18","2021-10-19 09:53","4:43"
"52/E/10/21","E03","2021-10-18","2021-10-19 07:22","4:17"
"53/E/10/21","E03","2021-10-18","2021-10-19 08:09","4:17"
"54/E/10/21","E03","2021-10-18","2021-10-19 08:16","4:17"
"55/E/10/21","E03","2021-10-18","2021-10-19 06:43","4:17"
"56/E/10/21","E03","2021-10-18","2021-10-19 06:59","4:17"
"57/E/10/21","E03","2021-10-18","2021-10-19 08:37","4:17"
"58/E/10/21","E03","2021-10-18","2021-10-19 08:30","4:17"
"59/E/10/21","E03","2021-10-18","2021-10-19 07:06","4:17"
"60/E/10/21","E03","2021-10-18","2021-10-19 08:02","4:17"
"61/E/10/21","E03","2021-10-18","2021-10-19 08:23","4:17"
"62/E/10/21","E03","2021-10-18","2021-10-19 07:33","4:17"
"63/E/10/21","E03","2021-10-19","2021-10-19 07:40","0:41"
"67/E/10/21","E04","2021-10-19","2021-10-19 17:43","1:22"
"68/E/10/21","E05","2021-10-19","2021-10-20 09:00","4:41"
"69/E/10/21","E05","2021-10-19","2021-10-20 06:36","2:05"
"70/E/10/21","E05","2021-10-19","2021-10-20 06:50","2:15"
"71/E/10/21","E05","2021-10-19","2021-10-20 07:27","2:53"
"72/E/10/21","E05","2021-10-19","2021-10-19 17:50","0:51"
"79/E/10/21","E03","2021-10-19","2021-10-19 18:11","1:14"
"80/E/10/21","E03","2021-10-19","2021-10-19 18:04","1:07"
"81/E/10/21","E03","2021-10-19","2021-10-19 17:57","1:07"
"82/E/10/21","E05","2021-10-19","2021-10-20 06:43","1:47"
"83/E/10/21","E06","2021-10-19","2021-10-20 07:06","3:44"
"84/E/10/21","E05","2021-10-19","2021-10-20 06:59","2:47"
"85/E/10/21","E05","2021-10-20","2021-10-20 08:45","3:45"
"86/E/10/21","E05","2021-10-19","2021-10-20 09:07","3:45"
"87/E/10/21","E05","2021-10-19","2021-10-20 08:38","3:45"
"88/E/10/21","E04","2021-10-12","2021-10-12 18:03","0:42"
"100/E/10/21","E02","2021-10-19","2021-10-20 11:28","4:44"
"101/E/10/21","E02","2021-10-20","2021-10-20 11:35","1:43"
"102/E/10/21","E05","2021-10-19","2021-10-20 08:52","0:53"
"106/E/10/21","E03","2021-10-19","2021-10-20 08:29","2:05"
"107/E/10/21","E03","2021-10-19","2021-10-20 07:56","1:29"
"108/E/10/21","E05","2021-10-19","2021-10-20 07:49","2:03"
"109/E/10/21","E07","2021-10-19","2021-10-20 08:15","4:12"
"110/E/10/21","E07","2021-10-19","2021-10-20 08:08","4:12"
"112/E/10/21","E09","2021-10-19","2021-10-19 15:58","4:06"
"114/E/10/21","E08","2021-10-20","2021-10-20 10:37","1:42"
"115/E/10/21","E05","2021-10-20","2021-10-20 10:30","1:02"
"116/E/10/21","E06","2021-10-20","2021-10-20 10:23","1:14"
"117/E/10/21","E05","2021-10-20","2021-10-20 10:16","0:55"
"118/E/10/21","E05","2021-10-19","2021-10-20 10:09","1:43"
"119/E/10/21","E06","2021-10-19","2021-10-20 09:41","2:56"
"120/E/10/21","E05","2021-10-19","2021-10-20 09:34","4:17"
"122/E/10/21","E05","2021-10-20","2021-10-20 09:14","2:35"
